date,global_index,lag_1,lag_7,rolling_mean_7,rolling_std_7,pct_change
2025-04-30,2205.5,2221.6666666666665,,,,-0.007460505489106188
2025-05-31,2277.0,2189.25,2208.0,2224.5714285714284,98.32019047834322,0.0396254649116628
2025-06-30,3333.0,3214.25,2176.25,2683.035714285714,588.8972885932355,0.061512931263563275
2025-07-31,2620.4,2717.2,2817.4,2955.4857142857145,391.73951527145056,-0.03462552481222665
2025-08-31,2310.75,2380.75,2936.5,2520.0,159.9454847336198,-0.029217756718585175
2025-09-30,1955.5,2070.0,2510.5,2221.3571428571427,175.54696353598547,-0.05597215689467816
2025-10-31,1715.0,1702.8,2193.4,1853.4285714285713,174.31247524690454,0.0074556822799344055
2025-11-30,1869.0,1873.0,1748.5,1785.5357142857142,104.0126466415898,-0.0011144584843278127
2025-12-31,2069.75,1968.0,1803.5,1910.392857142857,105.58867141328132,0.052936544633027494
2026-01-31,2330.25,2356.75,1861.0,2169.535714285714,243.93272409522604,-0.007780277619449716
2026-02-28,1927.5,1979.5,2227.25,2168.107142857143,223.30208134942586,-0.02529471269487077
2026-03-31,2133.0,2038.0,2180.75,2004.6785714285713,116.06187355265878,0.04692063618577885
2026-04-30,2954.75,2636.5,1927.25,2316.285714285714,395.07806557851916,0.1426448519772279
